epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.526,1.06155,2.83748,1.08299,0.35835,0.40377,0.32689,0.22413,0.97239,3.01933,1.00183,0.00047092,0.00047092,0.00047092
2,261.437,1.07108,2.22127,1.08487,0.5149,0.70679,0.57317,0.39814,1.02849,2.34379,1.06961,0.000928498,0.000928498,0.000928498
3,840.913,1.05778,2.07123,1.08319,0.42224,0.76171,0.5738,0.41215,1.00701,2.13815,1.08297,0.00136721,0.00136721,0.00136721
4,1300.08,1.05391,1.83646,1.07295,0.5012,0.49251,0.59433,0.40795,0.9978,1.7522,1.06155,0.00134412,0.00134412,0.00134412
5,1679.25,1.02466,1.62386,1.05478,0.47401,0.80884,0.66542,0.47109,1.00141,1.76586,1.04984,0.00131582,0.00131582,0.00131582
6,1988.11,0.98527,1.49954,1.03744,0.53365,0.80748,0.68885,0.50619,0.92974,1.29845,0.98971,0.00128753,0.00128753,0.00128753
7,2581.1,0.98219,1.38935,1.03405,0.5176,0.90594,0.68477,0.50521,0.93485,1.19157,1.00019,0.00125923,0.00125923,0.00125923
8,3103.07,0.99022,1.30362,1.0467,0.66514,0.85936,0.76009,0.56101,0.88828,1.04787,0.98423,0.00123094,0.00123094,0.00123094
9,3679.27,0.95655,1.23374,1.02684,0.62365,0.82693,0.77553,0.58992,0.86835,1.00442,0.97033,0.00120265,0.00120265,0.00120265
10,4244.81,0.95324,1.18779,1.01991,0.67739,0.84905,0.8083,0.61993,0.87269,1.02146,0.96802,0.00117435,0.00117435,0.00117435
11,4773.32,0.94639,1.11942,1.01556,0.80912,0.83226,0.87088,0.66179,0.88384,0.95377,0.96881,0.00114606,0.00114606,0.00114606
12,5362.82,0.93729,1.06433,1.00623,0.80584,0.89973,0.92101,0.71719,0.86871,0.83814,0.97281,0.00111776,0.00111776,0.00111776
13,5868.3,0.94468,1.0312,1.02453,0.86816,0.91273,0.92268,0.71534,0.84372,0.80936,0.95745,0.00108947,0.00108947,0.00108947
14,6446.14,0.89739,1.00246,1.00279,0.91613,0.87664,0.9492,0.746,0.83802,0.80944,0.95347,0.00106118,0.00106118,0.00106118
15,7003.31,0.90554,0.9828,1.0057,0.87791,0.92142,0.94958,0.75401,0.85425,0.73687,0.94565,0.00103288,0.00103288,0.00103288
16,7540.95,0.87676,0.90931,1.00407,0.86583,0.93613,0.95759,0.76659,0.81132,0.69222,0.93908,0.00100459,0.00100459,0.00100459
17,8049.39,0.87205,0.87802,0.99333,0.89891,0.90713,0.93955,0.74656,0.82282,0.75427,0.95361,0.000976293,0.000976293,0.000976293
18,8570.35,0.88906,0.87785,0.99489,0.95424,0.87644,0.96028,0.76858,0.80303,0.68824,0.94658,0.000947999,0.000947999,0.000947999
19,9072.86,0.85711,0.87246,0.97999,0.9731,0.91744,0.98171,0.79053,0.80449,0.63927,0.93802,0.000919704,0.000919704,0.000919704
20,9607.91,0.83357,0.83904,0.97953,0.93865,0.90768,0.96306,0.78371,0.78946,0.63445,0.93336,0.00089141,0.00089141,0.00089141
21,10055.6,0.85544,0.83725,0.98564,0.94549,0.93543,0.97705,0.7926,0.79418,0.65352,0.93065,0.000863116,0.000863116,0.000863116
22,10491.8,0.83587,0.81611,0.97363,0.96272,0.8926,0.96648,0.78334,0.79125,0.58552,0.93211,0.000834822,0.000834822,0.000834822
23,10604.7,0.83723,0.77959,0.97725,0.9134,0.96228,0.97732,0.78995,0.81506,0.58622,0.94109,0.000806528,0.000806528,0.000806528
24,10707.1,0.83898,0.75155,0.98007,0.85991,0.90832,0.92535,0.72957,0.77926,0.63096,0.92254,0.000778233,0.000778233,0.000778233
25,10802.8,0.8378,0.76314,0.98179,0.94966,0.92424,0.97363,0.77443,0.82359,0.60505,0.93472,0.000749939,0.000749939,0.000749939
26,10898.8,0.80094,0.7015,0.95991,0.96005,0.92089,0.98177,0.81243,0.75404,0.5315,0.91267,0.000721645,0.000721645,0.000721645
27,10994.7,0.79234,0.70464,0.95786,0.95448,0.92361,0.975,0.79154,0.7896,0.5361,0.91902,0.000693351,0.000693351,0.000693351
28,11090.9,0.80472,0.70883,0.95519,0.97542,0.96678,0.98774,0.81425,0.74915,0.53251,0.91248,0.000665057,0.000665057,0.000665057
29,11187.1,0.79663,0.7151,0.96344,0.92422,0.96728,0.98265,0.81192,0.74369,0.5038,0.9113,0.000636762,0.000636762,0.000636762
30,11283.5,0.77331,0.66685,0.94508,0.9429,0.97185,0.98609,0.81089,0.754,0.50336,0.9113,0.000608468,0.000608468,0.000608468
31,11378.7,0.77312,0.67178,0.9435,0.96245,0.92357,0.98298,0.8103,0.76464,0.50587,0.92053,0.000580174,0.000580174,0.000580174
32,11474.3,0.75625,0.66329,0.95059,0.96583,0.94351,0.98582,0.82566,0.72836,0.46978,0.9018,0.00055188,0.00055188,0.00055188
33,11571.2,0.77792,0.63851,0.95409,0.95443,0.93716,0.98489,0.81834,0.73233,0.47136,0.90027,0.000523586,0.000523586,0.000523586
34,11667.8,0.75857,0.64881,0.95341,0.94095,0.94956,0.97771,0.80287,0.74999,0.49832,0.90931,0.000495291,0.000495291,0.000495291
35,11762.6,0.78926,0.62842,0.95145,0.98818,0.92497,0.98532,0.81291,0.77239,0.4922,0.91021,0.000466997,0.000466997,0.000466997
36,11858.2,0.7755,0.63556,0.95125,0.93674,0.95797,0.97709,0.80454,0.75418,0.48476,0.91602,0.000438703,0.000438703,0.000438703
37,11954.8,0.77066,0.6154,0.94377,0.95693,0.96572,0.97778,0.81018,0.74019,0.48189,0.91346,0.000410409,0.000410409,0.000410409
38,12050,0.73597,0.59554,0.93575,0.95381,0.97737,0.98722,0.81867,0.73149,0.46827,0.90736,0.000382115,0.000382115,0.000382115
39,12145.3,0.745,0.59647,0.92765,0.96663,0.97525,0.99041,0.82397,0.74665,0.45671,0.90929,0.00035382,0.00035382,0.00035382
40,12240.7,0.73079,0.60139,0.92567,0.99134,0.95226,0.98999,0.83387,0.70182,0.43886,0.90031,0.000325526,0.000325526,0.000325526
